index,user_id_maped,program_name,rating,date_,program_genre
644017,26732,Friends      The One With The Race Car Bed,3,2017-05-14,Comedy
644497,26732,Why Did I Get Married Too?,1,2017-07-18,Comedy
644983,26732,Friends      The One On The Last Night,3,2017-06-08,Comedy
645473,26732,Unforgettable,2,2017-08-27,Drama
645955,26732,Friends      Pilot,3,2017-04-13,Comedy
646443,26732,Friends      The One Where Joey Loses His Insurance,3,2017-05-25,Comedy
646930,26732,Friends      The One With The creamer,3,2017-05-14,Comedy
647419,26732,Friends      The One With Mac And C.H.E.E.S.E,3,2017-07-22,Comedy
647903,26732,Friends      The One With The Tea Leaves,3,2017-03-26,Comedy
648401,26732,Friends     The One With The Cat,3,2017-04-11,Comedy
648888,26732,Heroes  Jump  Push  Fall,4,2017-07-20,Drama
649374,26732,Friends     The One With Chandler's Work Laugh,3,2017-07-12,Comedy
649873,26732,Friends      The One With The Birth,3,2017-05-24,Comedy
650367,26732,Stealth,4,2017-05-16,Action
650863,26732,Heroes  Parasite,4,2017-07-17,Drama
651361,26732,Friends     The One With Rachel's Inadvertent Kiss,3,2017-04-18,Comedy
652339,26732,Friends      The One With Phoebe's Husband,4,2017-05-14,Comedy
653315,26732,Friends      Friends    Ep6,3,2017-05-13,Comedy
653800,26732,Friends      The One With Ross's Thing,3,2017-05-14,Comedy
654291,26732,Friends      The One Where Heckles Dies,3,2017-07-16,Comedy
654782,26732,Friends      The One With The Ring,3,2017-07-22,Comedy
655269,26732,Friends      The One Where Eddie Moves In,3,2017-03-29,Comedy
655758,26732,The Black Dahlia,4,2017-07-18,Thriller
656245,26732,Friends      The One With Monica's Boots,3,2017-03-26,Comedy
656723,26732,Friends     The One With The Cop,3,2017-04-18,Comedy
657204,26732,Friends      The One With The tripper,3,2017-03-26,Comedy
657682,26732,Jumanji,4,2017-03-27,Action
658160,26732,Friends      The One With Barry And Mindy's Wedding,1,2017-05-15,Comedy
658643,26732,Friends      The One With The tripper,3,2017-08-28,Comedy
659119,26732,Friends      The One With Ross' New Girlfriend,3,2017-03-28,Comedy
659596,26732,Friends      The One With The Monkey,3,2017-03-28,Comedy
660079,26732,Friends     The One With Joey's Bag,3,2017-04-18,Comedy
660561,26732,Friends      The One With Joey's Porsche,3,2017-05-25,Comedy
661046,26732,Friends      The One With The Football,3,2017-04-02,Comedy
661524,26732,Friends      The One With The Princess Leia Fantasy,3,2017-03-29,Comedy
662012,26732,Friends     The One Where Ross Is Fine,3,2017-07-26,Comedy
662507,26732,Friends     The One With The Fertility Test,4,2017-07-04,Comedy
663000,26732,Heroes  The econd Coming,4,2017-07-18,Drama
663492,26732,Friends      The One With The Princess Leia Fantasy,3,2017-08-26,Comedy
663987,26732,Friends      The One With The Tiny T-Shirt,3,2017-04-10,Comedy
664464,26732,Friends      The One With The Ultimate Champion,3,2017-04-11,Comedy
664955,26732,Friends     The One After Joey And Rachel Kiss,1,2017-07-06,Comedy
665442,26732,Friends     The One Where Rachel mokes,3,2017-04-18,Comedy
665925,26732,Friends      The One With Russ,3,2017-03-29,Comedy
666418,26732,Friends      The One Where Monica & Richard Are Friends,3,2017-05-15,Comedy
666911,26732,Friends     The One With The Truth About London,3,2017-07-13,Comedy
667409,26732,Friends     The One With Joey's New Brain,3,2017-07-13,Comedy
667883,26732,Friends      The One Where Paul's The Man,3,2017-05-25,Comedy
668372,26732,Heroes  Landslide,4,2017-07-17,Drama
669344,26732,Friends     The One Where Ross Moves In,3,2017-04-18,Comedy
669834,26732,Friends      The One Where Ross Hugs Rachel,3,2017-08-27,Comedy
670810,26732,Drive Angry,1,2017-03-15,Thriller
671293,26732,The Girl on the Train,2,2017-04-11,Drama
671771,26732,Friends      The One With The Apothecary Table,3,2017-07-21,Comedy
672256,26732,Friends      The One With The Apothecary Table,3,2017-07-22,Comedy
672735,26732,Quantico     Run,4,2017-07-17,Drama
673219,26732,Community  (T)    panish,3,2017-03-20,Comedy
673716,26732,Friends     The One With Rachel's Assistant,3,2017-07-13,Comedy
674198,26732,Heroes  Hysterical Blindness,4,2017-07-20,Drama
674687,26732,Friends      The One That Could Have Been  Part II,3,2017-05-25,Comedy
675168,26732,Friends     The One With The Inappropriate ister,3,2017-05-16,Comedy
675647,26732,Friends      The One With The Football,3,2017-07-17,Comedy
676129,26732,Friends     The One After Joey And Rachel Kiss,1,2017-07-26,Comedy
677090,26732,Friends      The One Where No One's Ready,3,2017-05-14,Comedy
677567,26732,Friends     The One Where Rachel mokes,3,2017-07-12,Comedy
678045,26732,Friends     The One With The Ride-Along,3,2017-07-12,Comedy
678524,26732,Friends      The One With George tephanopoulos,3,2017-05-13,Comedy
679013,26732,Friends      The One After I Do,1,2017-03-24,Comedy
679496,26732,Friends      The One Without The ki Trip,1,2017-04-06,Comedy
679989,26732,Friends      The One After The uperbowl Part II,3,2017-08-28,Comedy
680475,26732,Heroes  Pass/Fail,4,2017-07-21,Drama
680962,26732,Friends      The One Where Ross & Rachel Take A Break,3,2017-05-14,Comedy
681445,26732,Friends     The One With Monica's Thunder,3,2017-07-12,Comedy
681944,26732,Friends      The One With Ross's Thing,3,2017-07-18,Comedy
682913,26732,Friends      The One With Ross' New Girlfriend,1,2017-09-17,Comedy
683387,26732,Friends      The One With Frank Jr.,3,2017-04-10,Comedy
683873,26732,Friends      The One With The Hypnosis Tape,3,2017-04-10,Comedy
684355,26732,Collateral Beauty,2,2017-05-15,Drama
684837,26732,Friends      The One Where Ross Meets Elizabeth's Dad,3,2017-05-25,Comedy
685323,26732,Friends      The One With The toned Guy,3,2017-03-28,Comedy
685818,26732,Friends      Pilot,4,2017-03-28,Comedy
686298,26732,Friends      The One At The Beach,3,2017-05-14,Comedy
686782,26732,Friends      The One With The Princess Leia Fantasy,1,2017-05-14,Comedy
687261,26732,Friends      The One With Ross' New Girlfriend,3,2017-08-26,Comedy
687744,26732,Friends     The One With The Cop,3,2017-07-12,Comedy
688231,26732,Heroes  Dying Of The Light,4,2017-07-19,Drama
688712,26732,Scandal  (T)    YOLO,4,2017-05-16,Drama
689197,26732,Friends      The One Where Joey Loses His Insurance,3,2017-06-08,Comedy
689682,26732,Friends      The One With Joey's Fridge,3,2017-05-25,Comedy
690650,26732,Friends      The One Where The Monkey Gets Away,3,2017-03-28,Comedy
691131,26732,The Amazing pider-Man,1,2017-05-01,Action
692109,26732,Friends      The One Where Ross And Rachel...You Know,3,2017-05-15,Comedy
692596,26732,Friends      The One With The Baby On The Bus,3,2017-08-28,Comedy
693089,26732,Friends      The One With Joey's Interview,3,2017-03-26,Comedy
693571,26732,Jobs,1,2017-07-21,Drama
694054,26732,Friends      The One With The Giant Poking Device,3,2017-04-06,Comedy
694533,26732,Friends      The One Where Joey Moves Out,3,2017-03-29,Comedy
695018,26732,Friends      The One With Joey's Porsche,3,2017-05-25,Comedy
695505,26732,Friends      The One With The Princess Leia Fantasy,2,2017-05-15,Comedy
695993,26732,Community  (T)    Introduction To tatistics,3,2017-04-22,Comedy
696473,26732,Friends      The One With The List,3,2017-05-14,Comedy
696956,26732,Heroes  Dual,2,2017-07-19,Drama
697442,26732,Community  (T)    Investigative Journalism,3,2017-05-03,Comedy
697927,26732,Friends      The One With The Giant Poking Device,3,2017-04-10,Comedy
698411,26732,Heroes  A Clear And Present Danger,4,2017-07-19,Drama
699369,26732,Friends      The One Where Paul's The Man,3,2017-05-25,Comedy
699846,26732,Friends      The One Where Joey Moves Out,3,2017-05-15,Comedy
700332,26732,Friends      The One Where Chandler Can't Cry,3,2017-07-22,Comedy
700824,26732,Friends      The One With The Race Car Bed,3,2017-04-02,Comedy
701311,26732,Heroes  .07%,4,2017-07-17,Drama
701798,26732,Friends      The One With Phoebe's Dad,3,2017-07-16,Comedy
702287,26732,Friends      The One Where Monica & Richard Are Friends,3,2017-05-14,Comedy
702767,26732,Empire tate,4,2017-03-16,Action
703265,26732,The Amazing pider-Man,1,2017-05-03,Action
704232,26732,Friends      The One That Could Have Been  Part I,3,2017-05-25,Comedy
704719,26732,Friends     The One After Joey And Rachel Kiss,4,2017-07-26,Comedy
705205,26732,Friends      The One Where Chandler Can't Cry,3,2017-05-25,Comedy
705693,26732,Friends      The One With All The Jealousy,4,2017-04-10,Comedy
706176,26732,Friends     The One With Ross's andwich,3,2017-04-18,Comedy
706663,26732,Friends      The One With The Proposal Part II,3,2017-05-25,Comedy
